time,place,mag,depth,lon,lat,type,alert,tsunami,status,id,hour,month,day_of_week,tsl,hazard_label,target,zone,norm_mag,norm_depth,risk_score
2018-04-19 08:21:14.860,west of Macquarie Island,4.7,10.0,140.59,-53.0519,earthquake,,0,reviewed,",us1000drz6,",8,4,3,1.7744555555555555,MEDIUM,1,0,0.47000000000000003,0.9857142857142858,6.307142857142857
2022-01-23 01:12:34.661,"239 km SE of Sarangani, Philippines",4.9,33.2,126.7218,3.6478,earthquake,,0,reviewed,",us7000geaz,",1,1,6,0.4539436111111111,MEDIUM,1,0,0.49000000000000005,0.9525714285714286,6.307714285714285
2022-10-24 16:54:58.318,"Pagan region, Northern Mariana Islands",5.3,84.684,146.37,18.7416,earthquake,,0,reviewed,",us6000iw49,",16,10,0,0.8021280555555556,MEDIUM,1,0,0.53,0.8790228571428571,6.287068571428572
2016-05-06 04:07:16.340,"240 km E of Tadine, New Caledonia",4.5,10.0,170.1955,-21.6939,earthquake,,0,reviewed,",us10005h53,",4,5,4,2.052225,MEDIUM,1,0,0.45,0.9857142857142858,6.207142857142856
2018-08-12 14:58:53.503,"89 km SW of Kaktovik, Alaska",6.4,15.8,-145.291,69.5762,earthquake,green,1,reviewed,",ak20076877,at00pdcsa7,us1000g77a,ak018aap2cqu,iscgem612512937,",14,8,6,0.27899805555555557,HIGH,0,0,0.64,0.9774285714285714,7.132285714285715
2018-12-10 18:32:21.850,Southwest Indian Ridge,4.5,10.0,43.5061,-40.7773,earthquake,,0,reviewed,",us2000itmf,",18,12,0,0.2836666666666667,MEDIUM,1,0,0.45,0.9857142857142858,6.207142857142856
2019-07-01 00:37:36.037,"76 km E of Mutsu, Japan",5.2,44.45,142.125,41.2155,earthquake,,0,reviewed,",us700047tx,",0,7,0,25.575727500000003,MEDIUM,1,0,0.52,0.9365,6.4095
2023-12-21 17:25:55.853,"81 km E of Aras-asan, Philippines",4.6,10.0,127.0558,8.892,earthquake,,0,reviewed,",us7000lkpm,",17,12,3,0.36997861111111113,MEDIUM,1,0,0.45999999999999996,0.9857142857142858,6.257142857142856
2017-10-16 18:19:58.060,"293 km S of ‘Ohonua, Tonga",5.1,10.0,-175.4223,-23.9501,earthquake,,0,reviewed,",us1000asxc,",18,10,0,0.024375,MEDIUM,1,1,0.51,0.9857142857142858,6.507142857142857
2017-01-08 18:25:58.720,"3 km SSE of La Conquista, Nicaragua",4.6,115.58,-86.1759,11.7081,earthquake,,0,reviewed,",us10007s0v,",18,1,6,0.476375,MEDIUM,1,0,0.45999999999999996,0.8348857142857142,5.804657142857143
2015-11-23 05:16:24.090,"120 km SSE of San Pedro de Atacama, Chile",4.8,116.66,-67.7123,-23.8979,earthquake,,0,reviewed,",us100040g0,",5,11,0,1.0411555555555556,MEDIUM,1,0,0.48,0.8333428571428572,5.900028571428572
2020-11-22 11:27:26.446,"138 km NNW of Ambon, Indonesia",5.3,10.0,127.4963,-2.6552,earthquake,,0,reviewed,",us6000crg7,",11,11,6,0.2906708333333333,MEDIUM,1,0,0.53,0.9857142857142858,6.607142857142857
2018-09-06 16:23:03.560,"93 km E of Levuka, Fiji",5.1,625.76,-179.8137,-17.9182,earthquake,,0,reviewed,",us2000hgkk,",16,9,3,0.06434166666666667,MEDIUM,1,1,0.51,0.10605714285714285,3.8681714285714284
